"Timestamp","Whom do you consider an ideal scientist?","What should be the most accurate metrics to judge the caliber of a scientist?","What according to you should be the minimum educational qualification one should have to be considered a scientist?","What do you think should be the most developed trait which one should have to become a successful scientist?","What is the first thought which you have when you hear the word 'Scientist'","Why do you think people want to be a scientist?","What should be a scientist’s first priority?","Do you think that scientists should be allowed to conduct unethical experiments for the sake of science","Should a scientist prioritize science over social ethics and social norms for the sake of greater good","What do you think is the most important stimulus to a scientist","How  do scientists help common people?","Are scientists more biased towards theoretical aspects of science rather than the practical side of it.","Do you think that scientists are slowly getting replaced by engineers and doctors as they are more focused towards the theoretical aspect of science. "
"2021/11/28 8:33:07 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some highly educated folk.","Desire to make great discoveries and to solve  global problems","Development of the society","Yes, it will help science a lot and widen our research field.","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:34:17 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Post Graduate","High motivation","Someone who is busy to discover the next big thing and make this world a better place.","High chances of landing a job","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:36:32 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:37:18 AM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The impact which he/she is making on the society","Post Doctorate","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:38:02 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","A normal person with high motivation and extreme love for science.","None of the above","Development of the society","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:40:14 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Graduate","Foresight","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:41:17 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Post Graduate","Foresight","Some highly educated folk.","It sounds fancy and people think that you are very smart","Development of the subject itself","I choose not to answer this question","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:42:57 AM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Does Not matter","Foresight","Someone crazy who leave everything ( Social life, friends , family) for the sake of science.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:43:25 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Doctorate","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Development of the society","Yes, it will help science a lot and widen our research field.","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:44:23 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Hardworking","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the society","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:45:12 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Hardworking","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:48:41 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Intelligence","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","I choose not to answer this question","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:56:02 AM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The impact which he/she is making on the society","Doctorate","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","Yes, it will help science a lot and widen our research field.","No","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:57:16 AM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Doctorate","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","None of the above","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","Yes","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:57:28 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:59:30 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Anything which is happening or not happening in and around the world.","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:00:03 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","Yes","Dream of a better future(Colonizing Mars for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:00:47 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Post Graduate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:03:48 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:05:54 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:06:05 AM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Does Not matter","Intelligence","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:07:39 AM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","None of the above","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:09:23 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","10th pass","Foresight","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Dream of a better future(Colonizing Mars for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:09:50 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Post Doctorate","High motivation","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Development of the society","Yes, it will help science a lot and widen our research field.","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:09:56 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:12:24 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Does Not matter","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:12:32 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","10th pass","Innovative","Some with odd hair, thick glasses wearing a lab coat and working in some secret lab.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:17:59 AM GMT+5:30","Someone whose only aim is development of science","Number of good publications and patents","Does Not matter","Hardworking","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:18:35 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Intelligence","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:20:27 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:20:39 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Graduate","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","Yes","Dream of a better future(Colonizing Mars for example)","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:22:06 AM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Does Not matter","Hardworking","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:22:58 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","High motivation","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:23:45 AM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The impact which he/she is making on the society","Does Not matter","Foresight","A normal person with high motivation and extreme love for science.","It sounds fancy and people think that you are very smart","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:26:27 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Creative","Some with odd hair, thick glasses wearing a lab coat and working in some secret lab.","None of the above","Working on what he is interested on","I choose not to answer this question","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:26:41 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Does Not matter","Hardworking","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:27:53 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
